2752,,
General,0.0.3,Damage Scaling will no longer affect Online Matches.
General,0.0.8,Developer Mode released: This setting allows players to customize the balance in their local versus or practice modes.
General,0.0.8,Added a Blastzone Data Display to the Stage Select. This will display information regarding the blastzones based on the ground level of each stage (the lowest solid ground). You can turn it off and on by pressing RB on stage select.
General,0.0.8,"Added Full Hop, Short Hop and Off options to the Controller Customization options."
General,0.0.9,Bug Fix: Dropping through platforms was always triggering a fast fall in 0.0.8. You should be able to let go of down immediately after falling now to prevent a fast fall.
General,0.0.10,Added a new mechanic called Whiff Recovery. It increases the length of a window only if an attack has missed. We have added this mechanic to multiple characters in order to reduce spamming “safe” attacks without fear of punishment.
General,0.0.10,"Extended Parry Lag base decreased from 60 > 50 Frames. It now scales up with distance between the players up to a maximum of 100 Frames. This affects Kragg Down Special and Absa Neutral Special, Forward Special and Down Special."
General,0.0.10,Tech in place recovery reduced from 8 > 4 Frames. Total time reduced from 22 > 18.
General,0.0.10,Jabs can only be immediately cancelled into tilts on hit. This is to make Jab less safe and to prevent some characters from being able to cover rolls perfectly in many situations.
General,0.0.10,Tumble DI reduced from 28 > 18. This removed followups that characters relied on and made DI inconsistent. Instead we will be addressing how difficult these setups are to trigger instead of removing them entirely.
General,0.0.10,Bug Fix: Players can no longer tech before the Flinch State.
General,0.0.10,Bug Fix Fixed a bug that prevented players from DIing Spikes toward the right.
General,0.0.10,"Dev mode's internal structure has gotten a significant overhaul. You can now edit the following attributes of most hitboxes:
SDI multiplier
Hitstun modifier
Making hits untechable
Hit effect"
General,0.0.11,Air Dodging has been adjusted to give a true horizontal when some controllers input a slightly above horizontal.
General,0.0.12,Wall Techs can now be performed even if your horizontal speed is away from the wall. This allows players to tech walls when trying to recover up the wall.
General,0.0.12,Wall Tech invincibility time increased from 5 frames to 12 frames.
General,0.0.12,"Jabs are cancellable into Tilts even on whiff again. However, you cannot reverse your Forward Tilt on whiff. You can still do that on hit though. This is to prevent players from covering rolls with jab into reverse Forward Tilt."
General,0.0.12,Fixed bugs on Merchant Port Aether version with platforms and pipes.
General,0.0.12,Developer Mode version 0.3 released: Trevor has made a huge number of adjustments and improvements to Dev Mode. You can now create new hitboxes and have much better control over attacks.
General,0.0.12,You can now enable Dev Mode in Online matches by hitting the gear in the upper left corner. You must ensure that you both have the same exact files in the dev_ver_0.3 folder to avoid desyncs.
General,0.0.12,Bug Fix: Fixed a bug where the Short Hop button was causing desyncs.
General,0.12.1,Fixed a bug that allowed players to act immediately after getting hit by a jab.
General,0.12.2,You can no longer tech after hitpause when you landed an attack. You will need to be in hitstun in order to tech.
General,0.12.2,"The Keyboard Auto-Run option did not work the same online vs locally and was causing issues. Online, the hard directions would trigger from holds instead of presses. Keyboard players now must press the input like how the option was designed to work."
General,0.12.2,The Run Button when using a DPad was not functioning correctly online. It has been updated to work with both Xinput and Dinput controls.
General,0.13.0,"Projectiles now detect collision with hitboxes earlier than they detect collision with hurtboxes. This allows players to more consistently break through projectiles with attacks, since breakable projectiles will no longer trade with attacks."
General,0.13.0,"Tumble state added. Previously, if you left hitstun, you immediately went into an actionable state. This could mess up your tech, since you would air dodge instead. During tumble state, you can hold the dodge button to tech within 20 frames of impact"
General,0.13.0,Bug Fix: You can now air dodge immediately after wall-teching.
General,0.13.0,Dpad and Keyboard Autorun options now trigger run while held down instead of just on key press. This is similar to how the Keyboard Autorun worked online in past updates. This is to improve the speed of the game for players using the Autorun option.
General,0.13.1,Bug Fix: Adjusted the 1v1 Spawn Points for the Blazing Hideout.
General,0.13.1,Bug Fix: You can no longer wall jump when the Aether version of Tower of Heaven declares that you cannot touch walls from the side.
General,0.13.2,You can now B-reverse more special moves than before. The updated specials had no reason to be non-reversable.
General,0.14.0,"Drift DI is now dependent on your horizontal speed in hitstun. When moving under 5 ppf, you get the full effect of drift DI. When moving over 10 ppf, you get 1/2 of the full effect. This change increases the effectiveness of horizontal kill moves."
General,0.14.0,"Added whiff landing lag to certain aerials, which means the move will not autocancel if it misses. This mechanic serves to make certain aerials very slightly more punishable on whiff (e.g. Forsburn Dair)."
General,0.14.0,Increased the time of flinches caused by Jabs from 13 > 16 frames to ensure that more grounded Jabs into Tilts cannot be countered with a parry.
General,0.14.0,Crouch Canceling max knockback increased from 6 > 8.
General,0.14.0,Crouch Canceling Flinch Time reduced from 13 > 9.
General,0.14.0,"Attack, Special, and Strong Buffers are cleared when leaving hitstun into tumble state, requiring players to time their Combo Breaker tool instead of mashing them. (example: Zetterburn Neutral Special)"
General,0.14.0,"Shockwaves now appear when you are hit with a move that would kill you with no DI or drift DI. Previously, any move over a certain knockback value would create a shockwave."
General,0.14.0,The HUD now has visual feedback for player damage and deaths.
General,0.14.0,Bug Fix: Diagonal directional inputs are now processed the same in local and online modes. Up and down are now prioritized over left and right in online mode.
General,0.14.0,Bug Fix: Parrying an opponent's Uspecial will no longer cause them to have weird momentum shifts. This mostly affects Wrastor and Maypul.
General,0.14.1,Air dodges are no longer lost when interrupted before the invincibility frames
General,0.14.1,Controller now vibrates when a your character dies
General,0.14.1,Bug Fix: Rumble now works properly online
General,0.15.0,Parrying a projectile now allows you to cancel the parry animation with any action
General,0.15.0,Successfully parrying removes your ability to parry/roll for 30 frames (prevents accidental inputs after cancelling the parry)
General,0.15.0,"Flinch state now lasts the same duration as the hitstun of the move you were hit by (this doesn't affect much, but allows for weak moves that force flinch to have less than 13 flinch frames)"
General,0.15.0,Jab base knockback adjusted (3 > 4) for all characters except Orcane and Absa so that the flinch state is unchanged for jabs
General,0.15.0,"Every aerial autocancels all the time except for the following:
Zetter Fair: 6f lag
Orcane Uair: 8f lag
Fors Bair: 8f lag
Fors Dair: 8f lag
Maypul Fair: 8f lag
Absa Uair: 9f lag
Etalus Fair: 12f lag
Every aerial autocancels on its last 5 frames"
General,0.15.0,Whiff lag removed on everything but dash attacks (see each individual characters notes for changes)
General,0.15.0,Parrying a projectile will only give invincibility the first time it's parried
General,0.15.0,Moves that force flinch state will no longer do so if the opponent is in hitstun
General,0.15.0,"Tech roll frame data normalized across all characters: Invincible for 16 frames, vulnerable for 14 frames"
General,0.15.0,"Tech roll speeds adjusted for most characters
Zetter: 8 > 10
Orcane: 9
Wrastor: 8
Kragg: 8 > 10
Fors: 8 > 9
Maypul: 9 > 8
Absa: 8
Etalus: 9 > 11"
General,0.15.0,"The recovery frames of a tech in place are now jump-cancellable, as well as the last 5 frames (6 frames for Eta) of the recovery of tech rolls. This means after teching, you can choose to have your first actionable frame be on the ground or in the air"
General,0.15.0,"Missed tech ground friction multiplier x3 > x1.8 (makes you slide more when missing a tech, allowing for strategic missed techs to slide off platforms)"
General,0.15.0,Bug Fix: You can now tech on the first frame of tumble
General,0.15.0,Bug Fix: Trading with a clone's attack will no longer cause your next attack to reverse
General,0.15.0,Bug Fix: Parrying projectiles will now properly reset the projectile's lifetime when the projectile's owner does another attack after throwing the projectile
General,0.15.0,"Bug Fix: You can now wall tech moves with the ""untechable"" property (i.e. Absa's Dstrong)"
General,0.15.0,Bug Fix: Keyboard controls no longer detect directional hard presses 1 frame after the button was pressed
General,0.15.0,Two new CPU behaviors added to training mode: Parry and Evade
General,0.15.0,"Dev mode functionality for parries added:
Set custom parry stun frames
Set custom parry mode:
0: old parry mode (non-cancellable)
1: beta parry mode (cancellable on every hit except jabs)
2: new parry mode (cancellable on projectiles only)"
General,0.15.1,Bug fix on two moves connecting at once and the lower priority move being ignored (Kragg Down Special for example)
General,0.15.2,Projectiles that deal more than 8% can't be Crouch-Canceled.
General,0.15.2,Airdodge on R release requires the initial R press to be during tumble (buffer included). This is to prevent accidental late air dodges during the tumble state.
General,0.15.2,Aerial landing lag is never jump cancellable on whiff now. Landing lag that is less than or equal to your character's jump frames are jump cancellable on hit still. This is to make strategies like Nair spamming stronger when you are hitting than when you are whiffing.
General,0.15.2,You can now buffer Up Specials out of hitstun by holding up + special.
General,0.15.4,All Down Specials and Up Specials no longer require a hard press to B-reverse
General,0.15.4,Turnaround-B now requires a hard press within 8 frames of starting the Nspecial (helps prevent accidental reverses due to joystick recoil)
General,0.15.4,Extended parry stun changed to be less punishing at short/medium ranges but it remains the same at long ranges. This affects attacks like Absa Forward Special and Kragg Down Special.
General,0.15.4,"Training mode Updates:
Fixed DI In and DI Out options
Fine tuned Perfect DI option
Added Drift DI option
Added Show DI Lines option"
General,0.15.4,Bug Fix: Fixed a crash involving a clone teleporting into Kragg's rock
General,0.15.5,Hit Cancelling mechanic added. Specific values can be found here: http://i.imgur.com/hb1OVAA.png
General,0.15.5,Minimum parry stun for extended parry 40 > 50.
General,0.15.5,"Extended parry stun increased by 10 frames if your attack had ended before your projectile was parried. (relevant to moves like Kragg Dspecial, Etalus Fspecial, etc)"
General,0.15.5,All characters now go off ledge for the first 5 frames of their dash attacks instead of just Orcane.
General,0.15.5,Many specials have updated sound effects to stand out more from normal attacks.
General,0.15.7,Revamped Hit Effects to make them all look cooler and more impactful. Every character’s hit effects have been adjusted.
General,0.15.7,New animation on successful parry to match the increased visual feedback.
General,0.15.7,"If you are holding down, you will parry instead of roll. This works on diagonal down as well. This should be a more reliable way to parry out of grounded states like dash."
General,0.15.7,All stages have had their bottom blastzones lowered by 40 pixels to account for aerial whiff lag.
General,0.15.8,Revamped Hit Effects to make them all look cooler and more impactful. Every character’s hit effects have been adjusted.
General,0.15.8,Having Super Armor now applies a feint white outline to characters. You can see this on Kragg Forward Special and Etalus Ice Armor on Strongs and Up Special.
General,0.15.8,Fully charged strong attacks now do 1.25x knockback and 1.6x damage instead of 1.5x of both. This is to reduce some of the jankiness from fully charging strong attacks.
General,0.15.8,Air dodging out of tumble now occurs on the key press instead of release. It only occurs on release if you will hit the ground within 20 frames. This will make air dodging out of tumble feel more reliable while not preventing techs still.
General,0.15.8,"We have updated the sound effects to use a 3D sound system. Now depending on where the sound is made on screen, it will utilize stereo speakers differently."
General,0.15.9,"Hitstun duration is now slightly more dependent on weight. Lighter characters will have a few more frames of hitstun, heavier characters will have less. The change is fairly minimal, so don’t be too worried."
General,0.15.9,"ASDI  has been replaced by SSDI (Single Smash Directional Infleunce). You must now time your SSDI inputs during hitpause. You can use either the left or right stick to input a direction, but only one input is accepted per hit."
General,0.15.9,"Since SSDI is now more manual, its effectiveness has been increased from 8 > 14 pixels."
General,0.15.10,"It’s too hard to be consistent with SSDI online right now. As such, we’ve reverted back to ASDI and tweaked a few of the problem moves. We also re-evaluated some of our multi-hit attacks to make ASDI more important and to create more variety"
General,0.15.10,ASDI can now be performed with the right stick (takes precedence over the left stick)
General,0.15.10,ASDI strength is now 10 (was 8 in 0.15.8 and 14 in 0.15.9)
General,0.15.10,Fixed a bug where characters wouldn’t go into parry stun if they landed while being boosted upward
General,1.0.1,The Aethereal Gates respawn position has been moved to prevent invisible respawning on the Basic Version.
General,1.0.2,Tilt Stick up during dash performs a dash attack instead of an up strong.
General,1.0.2,Tilt Stick now works correctly with Absa’s Forward Tilt and Etalus’ Down Tilt.
General,1.0.2,Performing a neutral strong attack after rolling forward will no longer turn you around.
General,1.0.2,Frozen Fortress platform collision fixed to match the visuals.
General,1.0.2,Frozen Fortress spawn points fixed.
General,1.0.3,Tempest Peak – Platforms now indicate when they are about to move with visual cues on the air council statues. The platforms also move less often. Top blast zone reduced by 16px and side blast zones increased by 16px.
General,1.0.3,Aethereal Gates – Players now start the match further apart.
General,1.0.3,"Endless Abyss – The huge space, lack of platforms, and massive blast zones really limited approach options and caused some slow play that was uncharacteristic of Rivals. We’ve reduced the size of the stage, taking 36 pixels off the sides and 160 off the ground width."
General,1.0.3,Team Spawns Updated – Spawn points for team matches have been made more symmetrical. Teammates now also spawn on the same side of the stage so that players can no longer start in an advantageous position below their opponent.
General,1.0.3,Keyboard C Stick – Right stick buttons have been added to the keyboard controls.
General,1.0.3,Players are no longer able to be frozen when standing on ice after a successful parry of hit 1 of Etalus’ Dspecial
General,1.0.3,Fixed a parry invincibility bug discovered by Arcanine
General,1.0.3,Stage data corrected on stage select menu
General,1.0.3,"Hitboxes can now correctly hit both a rock and a pillar, instead of just one or the other"
General,1.0.3,Red team is no longer invincible to lightning on the Aether version of Tower of Heaven
General,1.0.5,Tech rolls on the stage fixed
General,1.1.2,Ori and Sein along with The Spirit Tree stage are now available! The new Spirit Tree stage comes with both a casual Aether version and competitive Basic version.
General,1.1.2,Respawn Invincibility Time – Invincibility time on respawn has been reduced from 120 frames to 90. Two seconds of invincibility was proving a bit long (especially on the smaller stages) which is why we’re reducing it to 1.5.
General,1.1.2,"Hurtbox Updates – Many animations that use the default hurtbox rectangle (jump, double jump, airdodge, walljump, hurt sprites) have been re-positioned to match the hurtboxes better in order to give more visual clarity."
General,1.1.2,Reverse Hits – Many kill moves that could reverse (sending a character the opposite way that the attack faced) have been changed to disallow this. This is a change across the board and not targeting any specific character.												
General,1.1.2,Dev Mode – Updated the properties and data for some character’s moves to bring them up to date with current gameplay.
General,1.2.0,"Parry Cooldown – Missing a parry now gives it a 20 frame cooldown. We added this to prevent people from spamming parry back to back, as the reward for landing the parry was too high in some situations (and it was frustrating to play against)."
General,1.2.0,"We’ve normalized all outward hitting moves so that the sides don’t kill off the top blastzone earlier than the top of the move. Knockback has been adjusted to keep relative power levels the same. This change effects Zetter Shine, Fors Combust and Absa Down Special."
General,1.2.0,Fixed a bug in local stage select that allowed The Spirit Tree to come up on random even if it was banned.
General,1.2.0,"Fixed a bug where you would lose your air dodge when getting hit during its startup, but only if you air dodged out of a tumble."
General,1.2.0,Fixed a game crash that happened when bashed clone explosion was parried.
General,1.2.0,Fixed a bug that stopped Kragg from destroying an opponent’s pillar in the ditto.
General,1.2.2,New tutorials – The Hitfalling tutorial has been added to the Advanced Offense section. The Drift DI tutorial has been added to the Advanced Defense section. Check these out even if you’re a veteran!
General,1.2.2,Ranno and Clairen dev mode – Simple dev mode files have been added for Ranno and Clairen.
General,1.2.2,Removed the option to turn pause off – This caused weird situations where you couldn’t exit certain modes due to having no pause menu. We think hold-to-pause is still superior for tournament play.
General,1.2.2,"Ranno and Clairen now save their random banned state – Previously, both of these characters would always reappear as available in your random bans when starting a new session."
General,1.2.2,"Projectile parry lockout – Parrying a projectile now instantly locks out your ability to parry/roll for 30 frames instead of 55 (this is a good thing). Previously, you could still be locked out from parrying again even after you lost parry invincibility."
General,1.2.3,You can no longer cancel hitpause with a walljump.
General,1.2.3,Holding left or right when starting an utilt or dtilt will force your character to face that direction.
General,1.2.3,Fixed a bug that could cause keyboard controls to take 3 extra frames to crouch.
General,1.2.3,"A pause menu has been added to replay mode. It includes options to change the game speed, toggle frame advance, show hitboxes, DI lines, toggle the HUD, and even take control of the replay. More replay options are planned for future updates as well."
General,1.2.3,(Tempest Peak) The side blastzones have been widened by 76px.
General,1.2.3,(Tempest Peak) The platforms no longer move on basic (competitive) mode.
General,1.2.3,Ranno and Clairen Stage Skins
General,1.2.4,Respawn time before you can leave the platform increased from 1.5 seconds to 2 seconds.
General,1.2.4,Unique victory screen backgrounds have been added for Ranno and Clairen.
General,1.2.4,Players can no longer buffer a reverse Dtilt or Utilt after a whiffed jab.
General,1.2.4,"Releasing left or right will no longer clear the dash buffer.
While this fixed a bug with keyboard controls, it made buffering 1 frame dash inputs almost impossible."
General,1.2.4,"Players can no longer dash during the first 3 frames of crouching.
This is a new fix made to prevent the bug that made crouching take 3 extra frames when using keyboard controls."
General,1.2.4,Assorted visual bugs (most appearing on pause) have been cleaned up.
General,1.2.4,Two Ranno tongue/stage related crashes have been fixed.
General,1.2.4,Fixed a bug with the flinch state that made flinching Kragg’s Pillar by crouch cancelling last longer than it should have.
General,1.2.4,Speed is now capped on Absa’s Uspecial when entering parry stun to prevent shenanigans:
General,1.2.5,Fixed a bug that allowed players to ASDI certain moves such as Absa’s Up Strong and jump to get out of hitstun immediately.
General,1.2.6,Buffering a walljump after an aerial attack will no longer result in a double jump.
General,1.2.6,Gameboy Wrastor slipstream is now translucent.
General,1.3.0,Wall tech can now be cancelled by a double jump or airdodge.
General,1.3.0,Wall tech invincibility has been increased from 8 frames > 12 frames.
General,1.3.0,"You can now crouch cancel multihit crouch cancellable moves like Absa upSpecial, Ranno needles, etc."
General,1.3.0,"You can no longer ASDI up/down while grounded. This was a bug that allowed people to tech grounded spike attacks, which were not supposed to be techable."
General,1.3.0,"Fixed angle flipper 8 (Absa Dspecial and Ori Charged Flame) to behave as expected when compared to angle flipper 1.
Previously it calculated the angle based on the bottom of the player’s feet instead of the center of their body, leading to a lower angle."
General,1.3.0,"Jab is no longer cancellable into strong attacks. Forsburn could cancel Fstrong into Dstrong, which was unintended and extremely powerful."
General,1.3.0,Attacks with the ‘force flinch’ property can now force flinch even if the opponent is in hitstun.
General,1.3.0,"Successful techs now reset the tech failure window, allowing you to tech two attacks in a row."
General,1.3.0,"Shortened dash attacks no longer happen when you press dash + attack on the same frame, but rather if you’re holding down on frame 1 of the attack. This makes shortened dash attacks easier to do on purpose and more difficult to do on accident."
General,1.3.0,"Hit lockout time is no longer used as the mechanic to make multi-hitbox, single-hit attacks (like Zetter fair or Ori bair). It is now only used for moves that shouldn’t be interrupted by things like Orcane bubbles, Kragg rock shards, or Elliana steam."
General,1.3.2,Trading with a move that hits inward will no longer turn you around.
General,1.3.2,Fixed a bug that prevented multihit projectiles from being crouch cancelled correctly.
General,1.3.3,Holding down during the flinch state will no longer crouch cancel unless you were previously in the crouch state.
General,1.3.3,Opponent’s speed is now capped when they’re sent into parry stun from a projectile. 
General,1.3.3,"The moves below have been fixed to work correctly when Team Attack is turned on:
Ori’s Spirit Flame
Clairen’s Plasma Field
Elliana’s Steam"
General,1.3.5,We’ve added even more movement options to Rivals this patch with the advent of moonwalking. This advanced tech is great for microspacing or when you just want to show off.
General,1.3.6,"Spirit Tree visual bug that was visible on ""ultra low"" settings has been corrected"
General,1.3.6,Moonwalking now requires a hard up/down press so that you won't accidentally do it while dash dancing
General,1.3.6,The configuration for certain Mayflash 4 port adapters has been updated
General,1.3.6,Fixed an issue with repeating textures in stage backgrounds
General,1.4.0,Moonwalk duration increased from 18 to 24.
General,1.4.0,Moonwalking is locked out for the first 2 frames of initial dash (makes keyboard/dpad moonwalking equal to joystick moonwalking).
General,1.4.0,Double jumps are no longer restored when hit within 6 frames of double jumping.
General,1.4.0,Reflecting projectiles doubles their base hitpause.
General,1.4.0,Being put into the flinch state will now restore your airdodge.
General,1.4.0,Bouncing off the ground after missing a tech will no longer restore your double jump.
General,1.4.0,"You can now parry during respawn invincibility, but you become vulnerable when doing so."
General,1.4.0,"Kill move shockwaves have been replaced.
If the move will kill with no/inward DI then you will get the standard burst effect. If the move is a guaranteed kill then you will get a 20 frame burst effect with a special background that covers the entire screen."
General,1.4.1,Your Double jump is now restored if interrupted on the very first frame; aka Double Jump Protection: 0 > 1 (was 6 before 1.4.0).
General,1.4.1,The last 5 frames of tech options can no longer be cancelled into jumpsquat.
General,1.4.1,"On hit, the last 5 frames of landing lag can now be cancelled into jumpsquat for all moves, not just moves that have the same landing lag frames as the character’s natural land frames."
General,1.4.1,Frozen players will now break free and go into prat fall when the ground under them disappears.
General,1.4.1,Bug Fix: Jumpsquat can now be cancelled into Uspecial.
General,1.4.1,"In changing the way landing lag works on hit, patch 1.4.1 unintentionally corrected a bug that lowered the landing lag of the aerials of all heavies on whiff. Multiple aerials for Elli, Etalus and Kragg and Sylv's Nair now have increased landing lag on whiff."
General,1.4.2,"Rolls, Airdodges, and Techrolls have been normalized. New framedata:
ROLLS: [3f startup  – 14f active  – 12f recovery]
AIRDODGES: [2f startup  – 12f active  – 12f recovery]
TECHROLLS: [20f invincibility – 14f recovery]"
General,1.4.2,Fixed a bug that made players get caught on ledges.
General,1.4.2,"Crouch is no longer locked out of dashing for 3 frames. Instead, crouching now clears the dash buffer."
General,1.4.2,The missed tech state can no longer be longer than the full initial duration of your hitstun.
General,1.4.2,Purple kill effect formula now takes SDI into consideration when checking for collision with walls/platforms/pillars/rocks.
General,1.4.2,Fixed a bug that caused heavy characters to be stuck in 1 extra frame of landing lag on aerials with 6 frames of landing lag compared to patch 1.4.0.
General,1.4.2,You can no longer wall-tech when first getting grabbed by Ori’s Down Special. You can still wall tech after getting thrown.
General,1.4.3,"Landing no longer clears the right stick’s buffer. Instead, it turns it into a normal 6 frame buffer instead of the 8 frame right stick buffer."
General,1.4.3,Tilt stick will no longer allow you to cancel a jab into a backward tilt.
General,1.4.3,Purple aether kill effect logic adjusted: now checks all even numbered DI angles (19 total) instead of just checking 7.
General,1.4.4,"Bug Fix: Moves with landing windows can no longer transition into the landing window while in hitpause. For attacks with landing hitboxes, they will no longer lose that hitbox when hitting with the falling hitbox on the frame right before landing."
General,1.4.5,Dev Mode updated to version 0.4 because of new hitbox properties.
General,1.4.6,Dev mode updated to 0.5 to support using full names of sound effect files instead of numbered indexes
General,1.4.6,Air Armada no longer grows double grass on a specific section of the ground
General,1.4.6 - Hotfix,Platforms with landing animations now have correct collision detection (noticeable by doing grounded Etalus Dspecial onto the side platforms vs the middle platform of Forest Floor) 
General,1.4.7,The purple kill effect now functions correctly when below any stage floor.
General,1.4.7,Forest Floor has been made symmetrical; all side platforms have been shifted slightly so that the far left platform no longer hangs over the edge and the far right platform is now in-line with the edge rather than being slightly further into the stage.
General,1.4.9,Walljump is now restored on death.
General,1.4.9,"Characters in a state where they can’t tech can also no longer ledge cancel.
This change is to help moves like Zetterburn Down Strong link into the final hit, since it could easily force the opponent to ledge cancel the first hit."
General,1.4.9,"Airdodging upward within 4 frames of double jumping will restore your double jump (the same way that Up Special does).
This allows tap jump users to airdodge upward without wasting their double jump."
General,1.4.9,Turnaround special window length increased from 8 > 16 (Turnaround special is performed by hard-pressing backward then pressing special within this window).
General,1.4.9,Ceiling teching added.
General,1.4.9,Missing a ceiling tech will now send you downward at half of your original upward speed (previous it set your vertical speed to zero).
General,1.4.9,"During the hitpause of the purple kill effect, moving platforms can no longer move the hit player."
General,1.4.9,"Added DI assistance; if your DI direction is within 10 degrees of full inward or outward DI, it will become full-strength DI.
This change is meant to allow keyboard players and newer players to get the correct DI more easily."
General,1.4.9,Two new CPU DI options added in training mode: Left and Right (works well with the new DI assistance mechanic).
General,1.4.9,Players will now instantly respawn in training mode.
General,1.4.9,Press F2 while in the main menu or any character select screen to revert all keyboard controls to default.
General,1.4.9,Dev mode updated to version 0.6: Lots of dev mode bug fixes. Don’t ask us what they are specifically.
General,1.4.9,"All players will now go into a 30 frame landing lag state when falling from a broken pillar, just like Kragg."
General,1.4.9 - Hotfix,DI Assist is now visualized when DI Lines are turned on
General,1.4.9 - Hotfix,Characters will no longer fall through platforms after being hit by a strong move
General,1.4.10,"DI Assist weak/strong KB threshold changed from a constant 10KB to a linear progression from 6KB at 20 degrees to 12KB at 70 degrees
This new linear progression is a more accurate representation of what is weak/strong"
General,1.4.10,"Strong KB DI Assist removed
Overall it made stocks last longer due to players being very likely to accidentally get perfect DI on surprise kill moves. It was also harder to get half-DI with instant inward drift on moves that send at 45 degrees (very common)"
General,1.4.10,"DI Rounding threshold: 10 > 23
This is the part of DI Assist that rounds your DI to a perpendicular angle if it's within X degrees of perpendicular. A value of 23 means that you can perfectly DI every move in the game even with only 8 unique input directions"
General,1.4.10,"Spike DI Assist removed due to redundancy
If the DI Rounding threshold is 20 degrees or higher, Spike DI Assist is no longer necessary"
General,1.4.10 - Hotfix,Holding up while exiting hitstun will no longer buffer a double jump when tap jump is turned on
General,1.4.10 - Hotfix,Pets purchasable with coins will now save correctly
General,1.4.10 - Hotfix,"Projectiles should now collide correctly with ground (this should only be noticeable in very niche cases, such as Sylvanos seed colliding with the corner of a platform)"
General,1.4.10 - Hotfix,"While watching a replay, press Y to take control of the camera. Pressing LB or RB will change the camera's movement speed."
General,1.4.10 - Hotfix,Dev mode replays now save correctly
General,1.4.10 - Hotfix,Turnaround-special window length while grounded: 16 > 8 (Prevents wavedash back Nspecials from automatically turning around)
General,1.4.10 - Hotfix,Hit lockout now takes the extra hitpause from the purple kill effect into account
General,1.4.10 - Hotfix,"Aldor can no longer taunt while lifting off or landing. Instead, he will politely wait until he is done before taunting"
General,1.4.10 - Hotfix,"The start and back buttons can now be used to accept or decline popup messages (to make sure keyboard can always use the F2 shortcut to revert their controls, even when accept and decline keys are unbound)"
General,1.4.11,The Forest Floor now has a unique variation for 2-player matches.
General,1.4.11,Treetop Lodge now has a unique variation for 4-player matches.
General,1.4.11,"The 1v1 starter (neutral) stagelist is now:
- Tower of Heaven
- Merchant Port
- Aethereal Gates
- Julesvale
- The Forest Floor"
General,1.4.11,"The 2v2 starter stagelist is now:
- Tower of Heaven
- Merchant Port
- Aethereal Gates
- Fire Capital
- Treetop Lodge"
General,1.4.11,"The Practice Room now replaces the Random stage in practice mode, giving you the option to practice on the grid."
General,1.4.11,"Bug Fix: Objects on ground (Lily, Puddle, Mobile Gear, etc.) all function normally when placed either on or under a Rock on a moving platform."
